"","SC_NAME","OPEN","CLOSE","NET_TURNOV","rank"
"1","RELIANCE    ",1053,1079.25,1648578204,1
"2","OBEROI REAL ",282.4,299.15,1572623819,2
"3","STATE BANK  ",3110,3196.4,1167713905,3
"4","TULSI EXTRU ",79.85,93.4,926053923,4
"5","EROS MEDIA  ",170.1,190.6,848727689,5
"6","BEDMUTHA IN ",277.95,252.05,848584217,6
"7","BNK OF BA(FI",1010,1012.5,712825808,7
"8","TATA STEEL  ",618.6,628.3,692909776,8
"9","KARUTURI GLO",37.1,38.15,679428807,9
"10","HDFC        ",707,704.05,651486552,10
"11","INDIABULLS  ",178.25,189.55,629066129,11
"12","CANARA BANK ",657,703.55,619345606,12
"13","TATAMTRTDVR ",810,829.05,618968264,13
"14","MERCK LTD   ",920,939.2,592051324,14
"15","ICICI BANK  ",1117.25,1129.25,555577951,15
"16","VIP INDUS.  ",650,628.8,420674722,16
"17","IDBI BANK L ",167.75,169.65,401754646,17
"18","INDBUL REAL ",215,209.55,397217131,18
"19","AEGIS LOGIS ",364.5,330.6,388802676,19
"20","ORCHID CHEM ",306.4,310.15,369207224,20
"21","IFCI LTD    ",71,73.85,368733766,21
"22","PIRAMA HEALT",548.9,542.65,361599666,22
"23","ACC LTD     ",962,982.6,361174611,23
"24","INFOSYS TECH",3008,3033.15,352501284,24
"25","LARSEN & TOU",2010,2038.85,307786190,25
"26","CENTRAL BK  ",211,224,306110356,26
"27","SESA GOA    ",350.9,350.95,301951507,27
"28","SUZLONENERGY",57.85,58.9,291665939,28
"29","JINDAL POLYF",1165,1101.1,285271171,29
"30","AJMERA      ",244.6,268.7,281392096,30
"31","RELMEDIA    ",258,267.5,279944225,31
"32","SHREE ASHTA ",41.4,41.75,273786299,32
"33","ORISSA MINE ",58600,61141.3,272008818,33
"34","TATA MOTORS ",1160,1166.45,271338249,34
"35","MIDFIELD    ",432.7,438,267207177,35
"36","CIPLA LTD.  ",335.95,345,259388147,36
"37","JM FINANCIAL",44.85,42.75,256494357,37
"38","AXIS BANK   ",1465,1503.9,255097966,38
"39","TCS LTD.    ",975,983.85,250176622,39
"40","BHARTI ARTL ",325,337.45,241102603,40
"41","UFLEX LTD   ",291.05,285.65,237323419,41
"42","UNITED PHOSH",198,204.85,234341414,42
"43","PETRONET LNG",123.15,128.35,234024648,43
"44","JINDAL SOUTH",2077.75,2132.25,227899295,44
"45","LIC HOUS.FIN",1326.35,1336.4,223638327,45
"46","STERL INTER ",218.9,213.4,223506470,46
"47","CEBBCO      ",120,121.45,211953150,47
"48","UNITECH LTD ",88,90.8,211827862,48
"49","PIPAVAVSHIP ",81.75,84.25,209698172,49
"50","DLF LIMITED ",367.7,371.65,206624607,50
